LocalId	SMBL TEI Node Name	SMBL TEI Xpath	SMBL Interim JSONPath	SMBL Interim Xpath	Cardinality	MS Ontology Class	DataProcessing	DataType	Notes
node35	funder	/TEI/teiHeader/fileDesc/titleStmt/funder	Graph-level				text node	xsd:string	Could be URI. Project-level metadata
node36	general editors	/TEI/teiHeader/fileDesc/titleStmt/editor[@role=”general-editor”]/@ref	Graph-level				attribute	URI	Project-level metadata
node37	creator editors	/TEI/teiHeader/fileDesc/titleStmt/editor[@role=”creator”]/@ref	$.meta.creator.*	/JSON/meta/creator	1+		attribute	URI	
node38	resp stmts	/TEI/teiHeader/fileDesc/titleStmt/respStmt					multiple	multiple	String-join resp and name with a space (comma sep if mult name) to become a label; ref is the URI for a person
node39	edition number	/TEI/teiHeader/fileDesc/editionStmt/edition/@n	$.meta.edition	/JSON/meta/edition	1?		attribute	xsd:number	
node40	publisher	/TEI/teiHeader/fileDesc/publicationStmt/authority	Graph-level				text node	xsd:string	Project-level
node41	derived from record	/TEI/teiHeader/fileDesc/publicationStmt/idno	cf. node1				text node	URI	node1
node42	rights	n/a	Graph-level				n/a		Project-level; inferred from knowledge of the project; should use http://rightsstatements.org/vocab/InC/1.0/
node43	license	/TEI/teiHeader/fileDesc/publicationStmt/availability/licence/@target	Graph-level				attribute	URI	Project-level
node44	pubDate	/TEI/teiHeader/fileDesc/publicationStmt/date	$.meta.pubDate	/JSON/meta/pubDate	1?		text node	xsd:dateTime	
									
									
NOTE:		The goal of this table is to map the SMBL TEI XML structure to a JSON-LD representation following the manuscript descriptions ontology. This will be done via an interim data structure that collates the various elements into a structure more closely aligned to the JSON-LD 							
NOTE:		PARTS!  The only thing that differs from the above is the addition of encoding the specific relationships between the parts							
NOTE:		some physDescs can do dimensions, but not all. Some can do layout, etc.; maybe ignore for final but keep in mind for next phase							
NOTE:		for lang codes, need to map to glottolog individuals?							
NOTE:		ms to parts need a sequence or some kind of designation; or maybe a sameAs between smbl URI and the hashed part reference							
